COD_DEP,NUM_OBRAS_ASSOCIADAS,OBRAS_EXECUTADAS,SOMA_PRIORIDADES_EXECUTADAS,SOMA_PRIORIDADES,MATERIAL_RECEBIDO,MATERIAL_ENVIADO
3058,206.0,150,8727.7464,10403.0,256.29999999999995,337.9200000000001
3129,235.0,153,9103.192300000002,11867.5,274.6700000000001,156.0
3297,151.0,81,5236.919999999997,7625.5,262.6,299.65000000000003
Função objetivo:,21791.0787,,TOTAL_MATERIAL_TRANSPORTADO,793.5700000000002,,
