DEPOSITO ORIGEM,MATERIAL,DEPOSITO DESTINO,QUANTIDADE
3273,357341,3294,7.009999999999728
3273,378857,3294,18.0
3273,230219,3326,4.0
3273,237818,3326,4.0
3273,374388,3326,3.0
3273,357341,6300,3.239999999999803
3285,66886,3113,32.0
3285,207373,3113,189.0
3285,225631,3113,9.0
3285,227041,3113,18.0
3285,245779,3113,20.0
3285,272138,3113,1.0
3285,289157,3113,1.0
3285,357255,3113,4.0
3285,357343,3113,15.0
3285,376376,3113,7.0
3285,289157,3182,1.0
3285,353197,3182,4.0
3285,207449,3256,2.0
3285,207506,3256,2.0
3285,214577,3256,13.0
3285,372330,3256,2.0
3285,220434,3257,52.08999999999999
3285,231589,3257,2.589999999999847
3285,207373,3273,86.0
3285,207449,3273,5.0
3285,231589,3273,1.3999999999997157
3285,231860,3273,4.0
3285,378857,3286,16.0
3285,237677,3294,18.0
3285,378735,3294,4.42
3285,81836,3326,3.0
3285,236885,3326,7.0
3286,74849,3113,1.0
3286,227827,3113,4.0
3286,236927,3113,2.0
3286,245803,3113,2.0
3286,245829,3113,1.0
3286,331744,3113,2.0
3286,357345,3113,15.0
3286,374393,3113,19.479999999999293
3286,374893,3113,3.0
3286,376373,3113,114.71000000000002
3286,78980,3182,175.0
3286,207449,3182,10.0
3286,207506,3182,4.0
3286,207647,3182,1.0
3286,228890,3182,4.0
3286,230292,3182,13.0
3286,237818,3182,1.0
3286,376373,3182,226.44
3286,214569,3256,5.0
3286,226092,3256,17.11
3286,2931,3257,391.60999999999837
3286,207373,3257,40.0
3286,214619,3257,1.0
3286,245837,3257,3.0
3286,236836,3273,5.0
3286,270439,3294,17.0
3286,378855,3294,3.0
3286,2980,3326,3.0
3286,376199,3326,1.0
3286,379134,3326,12.0
3286,379136,3326,10.0
3286,379142,3326,2.0
3294,3996,3113,4.25
3294,227850,3113,146.0
3294,227884,3113,2.0
3294,237230,3113,17.0
3294,298448,3113,2.0
3294,352260,3113,10.0
3294,378810,3113,6.0
3294,379142,3113,1.0
3294,228981,3182,26.0
3294,231795,3182,25.0
3294,377570,3182,1.5
3294,207373,3256,67.0
3294,214569,3256,12.0
3294,378735,3256,3.0
3294,378809,3257,120.0
3294,220475,3273,4.129999999999633
3294,378735,3273,1.0
3294,245845,3285,3.0
3294,373007,3285,14.5
3294,245779,3286,5.0
3294,293357,3286,38.0
3294,379134,3286,2.0
3294,207654,3326,1.0
3294,236844,3326,2.0
3294,298703,3326,1.0
3294,357341,3326,9.709999999999823
3294,379136,3326,4.0
3294,207571,6300,6.0
3326,214569,3113,3.0
3326,214577,3113,1.0
3326,219667,3113,11.0
3326,227793,3113,9.0
3326,237073,3113,2.0
3326,237081,3113,5.0
3326,237172,3113,27.0
3326,237800,3113,1.0
3326,245803,3113,13.0
3326,310011,3113,1.0
3326,2931,3182,89.18999999999997
3326,227074,3182,25.0
3326,376375,3182,167.0
3326,75036,3256,211.0
3326,81620,3256,54.0
3326,207415,3256,17.0
3326,226142,3256,125.0
3326,231795,3256,4.0
3326,293357,3256,162.0
3326,327692,3256,5.0
3326,375056,3256,157.0
3326,207373,3257,25.0
3326,219667,3257,159.0
3326,378735,3257,1.0
3326,231431,3273,3.0
3326,228924,3285,29.0
3326,231860,3285,51.0
3326,236869,3285,45.0
3326,376373,3285,111.01999999999994
3326,378857,3285,16.0
3326,271320,3286,37.0
3326,214569,3294,4.0
3326,293357,3294,90.53999999999999
3326,376194,6300,5.0
6300,2931,3113,34.0
6300,81596,3113,30.0
6300,207571,3113,6.0
6300,219642,3113,3.0
6300,227058,3113,4.0
6300,237164,3113,13.0
6300,245795,3113,5.0
6300,270439,3113,29.0
6300,297226,3113,4.0
6300,353197,3113,6.0
6300,375056,3113,31.0
6300,376194,3113,5.0
6300,377442,3113,14.13
6300,379679,3113,7.0
6300,220475,3182,59.89
6300,227793,3182,10.0
6300,231860,3182,15.0
6300,236901,3182,2.0
6300,237099,3182,12.0
6300,237248,3182,2.0
6300,293316,3182,12.0
6300,81604,3256,16.0
6300,236836,3256,10.0
6300,378809,3256,16.0
6300,2980,3257,2.0
6300,225623,3273,161.0
6300,225649,3273,9.0
6300,225664,3273,118.0
6300,245837,3273,1.0
6300,245845,3273,3.0
6300,231878,3285,56.0
6300,376373,3285,26.4
6300,225664,3286,60.0
6300,236836,3286,5.0
6300,236844,3286,5.0
6300,357341,3286,3.2399999999999096
6300,227850,3294,77.0
6300,228924,3294,26.0
6300,231589,3294,16.0
6300,231860,3294,16.0
6300,373007,3294,14.5
6300,377189,3294,19.0
6300,236844,3326,2.0
6300,245837,3326,2.0
6300,298703,3326,1.0
6300,378395,3326,8.0
